pic_ID,symbol_word,utterance_lemmas
Realism/john-singer-sargent/nicola-d-inverno.jpg,penis,"['I', 'like', 'his', 'frumpy', 'penis', 'a', 'it', 'hang', 'weakly', 'on', 'his', 'thigh', '.']"
Northern_Renaissance/hans-memling/diptych-of-jean-de-cellier-detail.jpg,protection,"['Angels', 'are', 'looking', 'over', 'the', 'baby', 'to', 'ensure', 'his', 'protection']"
Realism/peder-severin-kroyer/boys-bathing-at-skagen-summer-evening-1899.jpg,protection,"['The', 'moon', 'is', 'shining', 'down', 'on', 'these', 'boy', ',', 'offering', 'light', 'and', 'protection']"
Realism/pyotr-konchalovsky/bakhchisarai-common-view-1930.jpg,protection,"['This', 'town', 'is', 'nestled', 'in', 'the', 'protection', 'of', 'the', 'mountain', 'behind', 'it']"
Expressionism/martiros-saryan/armenian-village-1929.jpg,protection,"['This', 'scene', 'depicts', 'a', 'bustling', 'town', 'nestled', 'in', 'the', 'protection', 'of', 'some', 'mountain']"
Impressionism/pierre-auguste-renoir/woman-in-white-in-the-garden-at-colettes-1915.jpg,protection,"['The', 'tree', 'is', 'immense', ',', 'and', 'offer', 'a', 'lot', 'of', 'shade', 'and', 'protection', 'for', 'those', 'underneath']"
Northern_Renaissance/albrecht-durer/nude-sel-portrait-1505.jpg,penis,"['I', 'am', 'excited', 'by', 'the', 'skill', 'which', 'the', 'artist', 'exhibited', 'in', 'sculpting', 'a', 'realistic', 'penis', 'and', 'a', 'beautiful', 'torso', '.']"
Northern_Renaissance/jean-fouquet/coronation-of-louis-the-pious-1460.jpg,protection,"['These', 'people', 'know', 'that', 'prayer', 'is', 'the', 'best', 'form', 'of', 'protection', 'they', 'have']"
Symbolism/mikalojus-ciurlionis/my-road-iii-1907.jpg,protection,"['A', 'beautiful', 'evening', 'cityscape', ',', 'under', 'the', 'protection', 'of', 'fortress', 'wall', '.', 'The', 'contrast', 'between', 'the', 'enormity', 'of', 'the', 'tower', 'and', 'the', 'tinyness', 'of', 'the', 'building', 'is', 'astounding', '.']"
Post_Impressionism/maurice-utrillo/farm-on-l-ile-d-ouessant-finistere.jpg,protection,"['A', 'sense', 'of', 'home', 'and', 'of', 'protection', 'that', 'is', 'provided', 'not', 'only', 'by', 'the', 'building', 'but', 'by', 'the', 'wall', 'erected', 'around', 'it']"
Romanticism/gustave-dore/don-quixote-55.jpg,protection,"['I', 'find', 'the', 'arched', 'entrance', 'to', 'be', 'a', 'symbol', 'of', 'stability', 'and', 'protection', '.']"
Abstract_Expressionism/salvador-dali/study-for-deoxyribonucleic-acid-arabs-1.jpg,protection,"['Ghosts', 'going', 'out', 'in', 'a', 'group', 'for', 'protection', 'on', 'Halloween', 'night', '.']"
Expressionism/henri-matisse/music-sketch-1907.jpg,penis,"['I', 'am', 'excited', 'by', 'this', 'obviously', 'erotic', 'painting', '.', 'I', 'think', 'the', 'male', 'violinist', 'without', 'a', 'penis', 'is', 'dramatic', ',', 'a', 'well', 'a', 'the', 'lesbian', 'couple', '.']"
Symbolism/mikalojus-ciurlionis/fairy-tale-ii-1909.jpg,penis,"['The', 'wood', 'thing', 'look', 'life', 'a', 'penis', 'and', 'that', 'is', 'creepy', 'next', 'to', 'a', 'baby', '.']"
Post_Impressionism/maurice-utrillo/lapin-agile-2.jpg,protection,"['The', 'faded', 'color', 'make', 'this', 'look', 'haunted', ',', 'and', 'the', 'huge', 'white', 'block', 'on', 'the', 'right', 'make', 'it', 'look', 'like', 'the', 'town', 'covered', 'a', 'house', 'up', 'for', 'protection']"
Romanticism/gustave-dore/vivien-and-merlin.jpg,protection,"['I', 'love', 'the', 'flowing', 'line', 'of', 'the', 'tree', 'and', 'the', 'people', 'represent', 'lifelong', 'love', 'and', 'protection', '.']"
