pic_ID,symbol_word,utterance_lemmas
Northern_Renaissance/robert-campin/werl-altarpiece-st-barbara-1438.jpg,power,"['The', 'woman', 'seems', 'overpowered', 'by', 'the', 'large', 'room', ',', 'even', 'though', 'we', 'only', 'view', 'a', 'narrow', 'strip', 'of', 'it', '.']"
Symbolism/theodor-severin-kittelsen/uvaersnatt-utfor-skomvaer-fyr-en.jpg,power,"['The', 'ship', 'is', 'courageously', 'navigated', 'through', 'the', 'sheer', 'power', 'of', 'the', 'raging', 'ocean', '.']"
Romanticism/sir-lawrence-alma-tadema/joseph-overseer-of-pharaoh-s-graneries-1874.jpg,power,"['This', 'painting', 'to', 'me', 'represents', 'power', '.', 'The', 'way', 'the', 'queen', 'is', 'holding', 'the', 'staff', 'exhibit', 'a', 'sense', 'of', 'confidence', 'and', 'domination', ',', 'but', 'not', 'in', 'a', 'terrible', 'way', '.', 'The', 'way', 'the', 'person', 'is', 'sitting', 'on', 'the', 'floor', 'and', 'the', 'look', 'on', 'their', 'face', 'is', 'not', 'one', 'of', 'fear', ',', 'but', 'of', 'duty', '.']"
Northern_Renaissance/hans-holbein-the-younger/solomon-and-the-queen-of-sheba.jpg,power,"['Gives', 'a', 'feeling', 'of', 'one', 'man', ""'s"", 'power', 'over', 'their', 'people', '.']"
Romanticism/karl-bryullov/self-portrait-3.jpg,power,"['This', 'man', 'show', 'such', 'power', 'and', 'strength', '.', 'This', 'creates', 'amazement', 'and', 'awe', 'in', 'this', 'artwork', '.']"
Romanticism/viktor-vasnetsov/humpbacked-horse.jpg,power,"['The', 'horse', 'is', 'sprinting', 'with', 'great', 'power', 'since', 'it', 'front', 'leg', 'are', 'up']"
Romanticism/orest-kiprensky/portrait-of-prince-nikita-petrovich-trubetskoy-1826.jpg,power,"['He', 'ha', 'a', 'look', 'of', 'determination', 'and', 'confidence', 'in', 'his', 'eye', '.', 'The', 'way', 'his', 'body', 'is', 'positioned', 'make', 'him', 'look', 'powerful', '.']"
Impressionism/james-mcneill-whistler/the-chelsea-girl.jpg,power,"['The', 'little', 'boy', 'look', 'like', 'he', ""'s"", 'really', 'powerful', 'since', 'his', 'leg', 'are', 'apart']"
Romanticism/lev-lagorio/view-of-ayu-dag-from-alushta.jpg,force,"['The', 'water', 'is', 'crashing', 'against', 'the', 'rock', 'with', 'a', 'lot', 'of', 'force']"
Realism/thomas-eakins/portraits-4.jpg,power,"['The', 'man', 'look', 'powerful', 'since', 'his', 'rug', 'is', 'so', 'ornate']"
