pic_ID,symbol_word,symbol_coordinates,other_words
8/136368.jpg,sport,"[214.0, 145.0, 294.0, 205.0, 'sport']","['active', 'Computer Mouse Ball/ Fast', 'soccer sports', 'obsession', 'sport']"
4/32694.jpg,adventure,"[1.0, 56.0, 448.0, 409.0, 'Progress/Adventure']","['Strength', 'Acheivement', 'advertisement ', 'Progress/Adventure', 'mountain climbing']"
10/175963.png,adventure,"[9.0, 25.0, 425.0, 399.0, 'Danger/Adventure']","['Risk/Daring', 'Danger/Adventure', 'danger/risk', 'fashion/heights', 'Effortless/Free/In control']"
8/112948.jpg,sport,"[162.0, 331.0, 343.0, 452.0, 'playing sport']","['impress', 'Dreamer', 'Curling', 'curling', 'playing sport']"
5/127305.jpg,adventure,"[37.0, 39.0, 174.0, 451.0, 'adventure/limitless']","['be alert', 'Cheese grater', 'adventure/limitless', 'rough/terrain/dangerous', 'sharp']"
10/174627.png,sport,"[8.0, 4.0, 500.0, 487.0, 'sport/fitness/seduction']","['Restriction', 'Challenge/Hunger', 'Fighting/angry', 'Sex/Frustration', 'sport/fitness/seduction']"
1/155151.jpg,adventure,"[3.0, 307.0, 500.0, 500.0, 'Adventure ']","['error/wrong', 'relaxing', 'relax', 'Freedom', 'Adventure ']"
10/173717.png,adventure,"[1.0, 0.0, 497.0, 239.0, 'adventure']","['Graffiti/Post', 'sports', 'achievement/celebrated/exciting', 'adventure', 'Ireland']"
3/85783.jpg,adventure,"[103.0, 133.0, 237.0, 332.0, 'adventure']","['family/noise', 'comfort', 'middle of nowhere/wild/isolated', 'adventure', 'adventure']"
0/51280.jpg,adventure,"[7.0, 23.0, 494.0, 415.0, 'Beauty/Adventure']","['wildlife', 'sexy', 'nature', 'Beauty/Adventure', 'Sex/luxury']"
10/172210.png,adventure,"[75.0, 62.0, 478.0, 275.0, 'Adventure/Rough']","['Adventure/Rough', 'endurance/ruggedness/reliability', 'rugged/durable/adventure', 'rugged/outdoorsy']"
10/173382.png,adventure,"[152.0, 267.0, 456.0, 415.0, 'Adventure/Outdoors']","['Adventurous/Go places', 'Storm, Rain', 'nature / environment', 'Adventure/Outdoors']"
1/109301.jpg,adventure,"[22.0, 158.0, 217.0, 413.0, 'adventure']","['Challenging/Determination', 'adventure', 'style', 'Steep/Mountainous', 'blank']"
9/127229.jpg,adventure,"[420.0, 163.0, 50.0, 21.0, 'adventure']","['danger', 'adventorous', 'Seclusion', 'adventure', 'boating/ fishing']"
2/133372.jpg,sport,"[326.0, 2.0, 489.0, 96.0, 'Sport/Snow Skiiing']","['Sport/Snow Skiiing', 'outdoor activities', 'adventure/ excitment', 'nature/excitment/danger', 'adventure/outdoors']"
0/149600.jpg,adventure,"[7.0, 14.0, 372.0, 421.0, 'Adventure/Celebration']","['Luxurious / Decked out elephants / Opulence', 'India', 'Safari', 'Adventure/Celebration', 'Tradition \\festivities']"
3/37443.jpg,adventure,"[130.0, 161.0, 360.0, 373.0, 'adventure']","['adventure', 'Imagination/Fun', 'adventure', 'dream/imagination', 'Imagination']"
0/98720.jpg,adventure,"[67.0, 50.0, 405.0, 234.0, 'Adventure/Freshness']","['refreshing', 'freshness', 'freedom', 'brand', 'Adventure/Freshness']"
5/14625.jpg,adventure,"[68.0, 23.0, 470.0, 313.0, 'adventure']","['strong/dangerous', 'meme/trend/popularity', 'monster', 'strong', 'adventure']"
7/114897.jpg,adventure,"[468.0, 82.0, 68.0, 414.0, 'adventure/vacation']","['adventure/vacation', 'adventure', 'hooked', 'mystical/sophisticated', 'cheap']"
5/97205.jpg,adventure,"[108.0, 104.0, 381.0, 461.0, 'imagination/adventure']","['inspiration', 'imagination/adventure', 'imagination', 'creative', 'imagination']"
5/76555.jpg,adventure,"[385.0, 468.0, 32.0, 232.0, 'Adventure / Wild']","['Adventurous', 'environment', 'Adventure / Wild', 'EXCITING/ADVENTURE', 'make me a man again / big penis']"
10/170840.png,adventure,"[380.0, 497.0, 53.0, 281.0, 'Adventure']","['Leisure activities', 'Oxymoron ', 'security', 'Master Card', 'Adventure']"
0/135830.jpg,adventure,"[71.0, 178.0, 346.0, 407.0, 'adventure']","['llama', 'ADVENTUROUS', 'adventure', 'Gaming/Mystery', 'Rustic']"
10/170856.png,adventure,"[223.0, 190.0, 470.0, 394.0, 'adventure']","['adventure', 'Outdoor Exercise', 'spring', 'exercise']"
9/99779.jpg,adventure,"[22.0, 127.0, 416.0, 450.0, 'speed/adventure']","['speed/adventure', 'adventure/ mud/ wild', 'quiet/light', 'dirty', 'abuse']"
10/172360.png,adventure,"[81.0, 180.0, 430.0, 417.0, 'Adventure']","['Rare', 'Adventure', 'Vacation']"
8/37958.jpg,adventure,"[48.0, 63.0, 487.0, 395.0, 'Exotic destinations/travel adventure']","['leisure opportunities', 'Exotic destinations/travel adventure', 'adventures/flight', 'cultured/traveler ', 'heavenly/exotic']"
